I,chi_eff_true,chi_eff_H1,chi_eff_H0
0.0,-12.0,-12.481831393935096,-9.906811111429725
0.006412825651302605,-9.552867015312227,-10.176387017678797,-7.840262476924065
0.01282565130260521,-8.606849177405183,-9.271986326029193,-7.04460394733642
0.019238476953907815,-7.9078018055469785,-8.5980918766783,-6.458038186002825
0.02565130260521042,-7.336595754071348,-8.043516238371252,-5.97970680590394
0.03206412825651302,-6.847087351358415,-7.565191895703761,-5.570543159959396
0.03847695390781563,-6.41561131332939,-7.141031204783806,-5.21051149313047
0.044889779559118236,-6.028109375734923,-6.757913091997995,-4.887709647901043
0.05130260521042084,-5.67542180170415,-6.407288452020799,-4.594382710214189
0.05771543086172345,-5.351186216277362,-6.083219056012461,-4.325144098369353
0.06412825651302605,-5.050770212973113,-5.781381315699775,-4.0760718750175915
0.07054108216432865,-4.770676699081975,-5.498511271175641,-3.8442052942561493
0.07695390781563126,-4.508188781434638,-5.232073150267767,-3.6272441510325355
0.08336673346693386,-4.261145857518929,-4.980050386484824,-3.4233592130195225
0.08977955911823647,-4.027796119123871,-4.740807955467827,-3.231067345678219
0.09619238476953908,-3.806695825107827,-4.512998362713744,-3.049146233495451
0.10260521042084168,-3.59663840193027,-4.295495470602425,-2.8765743543203035
0.10901803607214429,-3.396603238156064,-4.08734670650232,-2.7124876272215683
0.1154308617234469,-3.2057178728969067,-3.8877377719099133,-2.5561474000630318
0.1218436873747495,-3.0232295298680993,-3.695966074181424,-2.40691634936322
0.1282565130260521,-2.8484833199513,-3.5114203822162002,-2.2642400259167514
0.1346693386773547,-2.6809052968557765,-3.33356501170804,-2.1276325091976673
0.1410821643286573,-2.5199891071548977,-3.161927365153626,-1.9966651048710444
0.1474949899799599,-2.3652853445188553,-2.9960879957826334,-1.8709573317600245
0.15390781563126252,-2.216392967340143,-2.835672597325044,-1.750169655744437
0.16032064128256512,-2.0729523110300723,-2.680345482141146,-1.6339975737567904
0.16673346693386773,-1.9346393471314243,-2.529804223048991,-1.5221667533710384
0.17314629258517034,-1.8011609276629788,-2.3837752147034994,-1.4144290065188554
0.17955911823647294,-1.6722508155981015,-2.242009968702179,-1.3105589287711203
0.18597194388777555,-1.547666348251029,-2.104281999405934,-1.210351074458432
0.19238476953907815,-1.4271856144371142,-1.9703841892831995,-1.1136175667684518
0.19879759519038076,-1.3106050519018355,-1.8401265465057461,-1.0201860636556241
0.20521042084168337,-1.1977373909834514,-1.7133342856965408,-0.9298980168829494
0.21162324649298597,-1.0884098854110373,-1.5898461766711827,-0.8426071741613521
0.21803607214428858,-0.982462782703629,-1.469513116807509,-0.7581782841427067
0.22444889779559118,-0.8797479956652321,-1.3521968911050504,-0.676485971666783
0.2308617234468938,-0.7801279435767672,-1.2377690906286194,-0.5974137566788151
0.2372745490981964,-0.6834745373204827,-1.1261101652891519,-0.5208531950047162
0.243687374749499,-0.5896682871716159,-1.0171085911142117,-0.44670312298015347
0.2501002004008016,-0.4985975156082585,-0.9106601355356871,-0.37486899099123416
0.2565130260521042,-0.4101576604151642,-0.8066672069520018,-0.3052622734608281
0.2629258517034068,-0.3242506557364919,-0.7050382770428323,-0.23779994482884792
0.2693386773547094,-0.2407843806789849,-0.6056873661310047,-0.17240401272279193
0.27575150300601203,-0.1596721666677654,-0.5085335833803009,-0.10900110087005555
0.2821643286573146,-0.08083235607978256,-0.4135007148524892,-0.04752207542347975
0.28857715430861725,-0.0041879057786520235,-0.3205168534724123,0.012098290698208558
0.2949899799599198,0.07033396990907725,-0.22951406580516354,0.06992162007764335
0.30140280561122246,0.14280212146847404,-0.1404280912658713,0.12600620364632142
0.30781563126252504,0.2132817557679978,-0.0531980699854957,0.18040724753821102
0.31422845691382767,0.281834700429644,0.03223370393515257,0.2331770969136251
0.32064128256513025,0.3485196440362186,0.11592200661932761,0.28436543932606106
0.3270541082164329,0.41339235482140957,0.19791888852550077,0.33401948987191865
0.33346693386773546,0.4765058801525237,0.2782738606316357,0.38218416007870015
0.3398797595190381,0.5379107288283613,0.35703406458021725,0.4289022122439885
0.34629258517034067,0.5976550379677406,0.43424442844118616,0.4742144007283722
0.3527054108216433,0.6557847260513539,0.5099478095513259,0.5181596015253955
0.3591182364729459,0.7123436334957445,0.5841851257168758,0.5607749312757706
0.3655310621242485,0.767373651978823,0.6569954759176238,0.6020958567583463
0.3719438877755511,0.8209148435978202,0.7284162515211969,0.6421562957728773
0.37835671342685373,0.8730055508200039,0.7984832389039722,0.6809887102276635
