delta,total_nll
-3.7744823938498273,7943.594984815433
-3.7238494824574224,7941.055908348605
-3.673216571065017,7937.502016374869
-3.622583659672612,7927.760968739126
-3.571950748280207,7923.289052387673
-3.521317836887802,7917.000882172306
-3.470684925495397,7907.084111783854
-3.4200520141029918,7901.847062820482
-3.369419102710587,7893.547149017694
-3.318786191318182,7886.052610111397
-3.2681532799257766,7881.082096358904
-3.2175203685333718,7902.806750762077
-3.1668874571409664,7869.356294557929
-3.1162545457485615,7877.12997859019
-3.065621634356156,7858.702070412254
-3.0149887229637513,7853.381553972619
-2.9643558115713464,7848.676776665492
-2.913722900178941,7837.3817387828285
-2.863089988786536,7829.481942590071
-2.8124570773941313,7841.748102968496
-2.761824166001726,7821.297225449896
-2.711191254609321,7814.974334973704
-2.660558343216916,7812.088842796762
-2.609925431824511,7804.562243075765
-2.5592925204321055,7801.765546667246
-2.5086596090397006,7797.226352934403
-2.4580266976472958,7801.86711568834
-2.4073937862548904,7795.458229123819
-2.3567608748624855,7790.357124677066
-2.3061279634700806,7786.596355596373
-2.2554950520776753,7786.4024131440365
-2.2048621406852704,7779.548122819682
-2.1542292292928655,7774.939139397103
-2.10359631790046,7775.196169125247
-2.052963406508055,7770.297757139204
-2.0023304951156504,7768.2731491181385
-1.951697583723245,7772.11620494905
-1.90106467233084,7766.24812133362
-1.8504317609384349,7765.705651066053
-1.79979884954603,7764.671162222402
-1.7491659381536246,7764.69767985315
-1.6985330267612198,7765.527624559621
-1.6479001153688149,7767.425339765272
-1.5972672039764095,7770.573559469297
-1.5466342925840046,7774.820848607213
-1.4960013811915993,7775.441902744724
-1.4453684697991944,7775.069772758405
-1.3947355584067895,7775.500151658414
-1.3441026470143842,7774.603844237721
-1.2934697356219793,7774.226550427381
-1.242836824229574,7773.797144863894
-1.192203912837169,7773.613102633917
-1.1415710014447642,7773.446201618417
-1.0909380900523589,7773.308242842034
-1.040305178659954,7773.518972804537
-0.9896722672675491,7774.076153429307
-0.9390393558751438,7774.887835797025
-0.8884064444827389,7776.196517578296
-0.8377735330903335,7777.846285211426
-0.7871406216979286,7779.667436637895
-0.7365077103055238,8387.997438600847
-0.6858747989131184,7783.707186510774
-0.6352418875207135,7785.705546620105
-0.5846089761283082,7787.774954179407
-0.5339760647359033,7790.101892407118
-0.4833431533434984,7792.159072508167
-0.4327102419510931,7797.32325996463
-0.3820773305586882,7800.791727665167
-0.33144441916628287,7801.744482370482
-0.280811507773878,7807.136820427199
-0.2301785963814731,7810.116251109904
-0.17954568498906776,7815.339967965929
-0.12891277359666287,7821.222666757062
-0.07827986220425753,9051.51839467842
-0.027646950811852644,7835.816452744357
0.022985960580552245,7843.7504862513215
0.07361887197295758,7862.358592301878
0.12425178336536247,7883.255376727578
0.17488469475776736,7860.984569247559
0.22551760615017247,7906.606514987233
