delta,total_nll
-1.0,7774.896197207154
-0.9745790911283161,7775.06160241821
-0.9491581822566322,7776.201539841109
-0.9237372733849483,7778.462685210341
-0.8983163645132644,7781.967355828788
-0.8728954556415804,7786.739501024644
-0.8474745467698964,7792.685663673888
-0.8220536378982125,7799.652861970966
-0.7966327290265286,7807.499980303574
-0.7712118201548447,7816.133731990929
-0.7457909112831608,7825.5118365453945
-0.7203700024114768,7835.6661306912465
-0.6949490935397928,7846.631025025601
-0.6695281846681089,7858.474820388466
-0.644107275796425,7871.206992476407
-0.6186863669247411,7884.745768185839
-0.5932654580530572,7899.015986580727
-0.5678445491813733,7914.086153168805
-0.5424236403096894,7929.554944277975
-0.5170027314380055,7945.873521707086
-0.49158182256632155,7962.880345128129
-0.4661609136946375,7980.925968155798
-0.4407400048229536,8000.525621197715
-0.4153190959512697,8017.867917968273
-0.3898981870795858,8036.101261188497
-0.3644772782079019,8054.66792177034
-0.33905636933621797,8074.420382934865
-0.31363546046453405,8094.136817388051
-0.28821455159285003,8115.45332522313
-0.2627936427211661,8137.835003629179
-0.2373727338494822,8161.127768493248
-0.2119518249777983,8185.067049770889
-0.18653091610611439,8209.461903803865
-0.16111000723443047,8234.152779840906
-0.13568909836274656,8259.353452902295
-0.11026818949106265,8290.392820026016
-0.08484728061937874,8314.052951579755
-0.05942637174769472,8340.162691145331
-0.034005462876010806,8365.654515593655
-0.008584554004326894,8392.815154395335
0.016836354867356906,8418.97003768057
0.04225726373904104,8443.944101480276
0.06767817261072495,8471.867213818492
0.09309908148240886,8496.409526590543
0.11851999035409277,8517.221596589916
0.1439408992257767,8539.416419835175
0.1693618080974606,8562.39562759931
0.1947827169691445,8585.618937402007
0.22020362584082842,8608.263007847774
0.24562453471251233,8633.492337024622
0.27104544358419624,8651.679360975155
0.29646635245588016,8672.332216605937
0.32188726132756407,8694.421269999913
0.347308170199248,8712.872802612283
0.3727290790709319,8746.28105165045
0.3981499879426158,8758.360487406622
0.42357089681429994,8769.73974255824
0.44899180568598385,8787.925921989994
0.47441271455766776,8808.888834498011
0.49983362342935167,8824.45289126429
0.5252545323010356,8842.298589145645
0.5506754411727195,8859.958198283097
0.5760963500444034,8877.409939540948
0.6015172589160873,8895.903019650645
0.6269381677877712,8913.996112481393
0.6523590766594551,8932.845543035914
0.677779985531139,8952.203729937455
0.703200894402823,8970.768980233992
0.7286218032745069,8989.572247515014
0.7540427121461908,9008.012858331447
0.7794636210178747,9026.837070357811
0.8048845298895586,9044.34385021774
0.8303054387612425,9061.346383877302
0.8557263476329267,9077.659983634698
0.8811472565046106,9094.19778927787
0.9065681653762945,9111.406141638106
0.9319890742479784,9129.447959126575
0.9574099831196623,9148.42071135579
0.9828308919913462,9168.36671077675
1.0082518008630301,9189.205638749529
